,municipio_destino,id_via
0,Acolman,64
1,Amecameca,39
2,Apaxco,13
3,Atenco,24
4,Atizapán de Zaragoza,448
5,Atlautla,3
6,Axapusco,4
7,Ayapango,2
8,Azcapotzalco,1434
9,Benito Juárez,3154
10,Chalco,276
11,Chiautla,9
12,Chicoloapan,94
13,Chiconcuac,83
14,Chimalhuacán,134
15,Coacalco de Berriozábal,298
16,Cocotitlán,7
17,Coyoacán,1957
18,Coyotepec,23
19,Cuajimalpa de Morelos,823
20,Cuauhtémoc,6476
21,Cuautitlán,293
22,Cuautitlán Izcalli,769
23,Ecatepec de Morelos,879
24,Ecatzingo,5
25,Gustavo A. Madero,1700
26,Huehuetoca,54
27,Hueypoxtla,7
28,Huixquilucan,233
29,Isidro Fabela,1
30,Ixtapaluca,127
31,Iztacalco,914
32,Iztapalapa,1665
33,Jaltenco,13
34,Jilotzingo,2
35,Juchitepec,4
36,La Magdalena Contreras,195
37,La Paz,279
38,Melchor Ocampo,17
39,Miguel Hidalgo,3593
40,Milpa Alta,53
41,Naucalpan de Juárez,1173
42,Nextlalpan,25
43,Nezahualcóyotl,693
44,Nicolás Romero,38
45,Otumba,10
46,Ozumba,36
47,Papalotla,2
48,San Martín de las Pirámides,17
49,Tecámac,167
50,Temamatla,6
51,Temascalapa,8
52,Tenango del Aire,1
53,Teoloyucan,26
54,Teotihuacán,42
55,Tepetlaoxtoc,9
56,Tepetlixpa,4
57,Tepotzotlán,125
58,Tequixquiac,8
59,Texcoco,228
60,Tezoyuca,34
61,Tizayuca,129
62,Tlalmanalco,15
63,Tlalnepantla de Baz,1349
64,Tlalpan,1102
65,Tláhuac,255
66,Tonanitla,4
67,Tultepec,93
68,Tultitlán,341
69,Valle de Chalco Solidaridad,98
70,Venustiano Carranza,1726
71,Villa del Carbón,2
72,Xochimilco,304
73,Zumpango,97
74,Álvaro Obregón,1614
